Exchange,Sector,Ticker,Year,CURRENT ASSETS (Bn. VND),Cash and cash equivalents (Bn. VND),Accounts receivable (Bn. VND),Net Inventories,Other current assets,LONG-TERM ASSETS (Bn. VND),Fixed assets (Bn. VND),Long-term investments (Bn. VND),Other non-current assets,TOTAL ASSETS (Bn. VND),LIABILITIES (Bn. VND),Current liabilities (Bn. VND),Long-term liabilities (Bn. VND),OWNER'S EQUITY(Bn.VND),Capital and reserves (Bn. VND),Undistributed earnings (Bn. VND),Budget sources and other funds,TOTAL RESOURCES (Bn. VND),Prepayments to suppliers (Bn. VND),"Inventories, Net (Bn. VND)",Investment and development funds (Bn. VND),Common shares (Bn. VND),Paid-in capital (Bn. VND),Long-term borrowings (Bn. VND),Advances from customers (Bn. VND),Short-term borrowings (Bn. VND),Long-term prepayments (Bn. VND),Other long-term assets (Bn. VND),symbol_x,Short-term investments (Bn. VND),Long-term loans receivables (Bn. VND),Investment in properties,Other Reserves,MINORITY INTERESTS,Short-term loans receivables (Bn. VND),Other current assets (Bn. VND),Convertible bonds (Bn. VND),Good will (Bn. VND),Other long-term receivables (Bn. VND),Long-term trade receivables (Bn. VND),Goodwill,Revenue YoY (%),Revenue (Bn. VND),Attribute to parent company (Bn. VND),Attribute to parent company YoY (%),Financial Income,Sales,Sales deductions,Net Sales,Cost of Sales,Gross Profit,Financial Expenses,Selling Expenses,General & Admin Expenses,Operating Profit/Loss,Other income,Other Income/Expenses,Net other income/expenses,Profit before tax,Business income tax - current,Business income tax - deferred,Net Profit For the Year,Attributable to parent company,symbol_y,Interest Expenses,Gain/(loss) from joint ventures,Net income from associated companies,Minority Interest,Net cash inflows/outflows from operating activities,Purchase of fixed assets,Proceeds from disposal of fixed assets,Gain on Dividend,Net Cash Flows from Investing Activities,Proceeds from borrowings,Repayment of borrowings,Dividends paid,Cash flows from financial activities,Net increase/decrease in cash and cash equivalents,Cash and cash equivalents,Foreign exchange differences Adjustment,Cash and Cash Equivalents at the end of period,symbol,Net Profit/Loss before tax,Depreciation and Amortisation,Provision for credit losses,Unrealized foreign exchange gain/loss,Profit/Loss from disposal of fixed assets,Profit/Loss from investing activities,Interest Expense,Operating profit before changes in working capital,Increase/Decrease in receivables,Increase/Decrease in inventories,Increase/Decrease in payables,Increase/Decrease in prepaid expenses,Interest paid,Business Income Tax paid,Other receipts from operating activities,Other payments on operating activities,"Loans granted, purchases of debt instruments (Bn. VND)","Collection of loans, proceeds from sales of debts instruments (Bn. VND)",Investment in other entities,Proceeds from divestment in other entities,Increase in charter captial,Finance lease principal payments,Payments for share repurchases,Interest income and dividends,Sentiment Score,Positive Ratio,Negative Ratio,Neutral Ratio,News Volume,Sentiment Change,News Shock
UPCOM,Personal & Household Goods,A32,2024,365283526310,101875809023,115182153535,147475530579,750033173,130636552760,112308780365,10572570000,5938926891,495920079070,274777285116,269971184316,4806100800,221142793954,221168793954,24469119523,-26000000,495920079070,1930349514,151841818957,128699674431,68000000000,68000000000,0,5217410621,0,5938926891,10572570000,A32,,,,,,,,,,,,,0.0104794459558638,727056756533,39269119523,-0.009085881015658,18892511500,727056756533,0,727056756533,-654718547132,72338209401,-632042575,-6729088611,-41185589605,42684000110,3154163550,-170387046,2983776504,45667776614,-6398657091,0,39269119523,39269119523,A32,,,,,63635197220,-8045448124,95000000,14347594117,6397145993,0,0,-24409330000,-24409330000,45623013213,56203838579,48957231,101875809023,A32,,,,,,,,,,,,,,,,,,,,,,,,,0.015,0.19,0.18,0.63,471,0,0
UPCOM,Personal & Household Goods,A32,2023,377351744758,56203838579,158277683784,159573420838,3296801557,128082478495,113200563086,10572570000,3229080965,505434223253,283410087953,279600987153,3809100800,222024135300,222028860019,25329185588,-4724719,505434223253,4657605265,163109885249,128699674431,68000000000,68000000000,0,6944344943,0,3229080965,10572570000,A32,,,,,,,,,,,,,0.0003283304376472,719516620989,39629185588,0.0807940022103051,14009961405,719516620989,0,719516620989,-636431780680,83084840309,-145074523,-5331702637,-44306626843,47311397711,1122350,-456570335,-455447985,46855949726,-7226764138,0,39629185588,39629185588,A32,,,,,11446689905,-7553203392,741000000,11025529745,4213326353,0,0,-17228290000,-17228290000,-1568273742,57796091197,-23978876,56203838579,A32,,,,,,,,,,,,,,,,,,,,,,,,,0.044,0.209,0.18,0.611,472,0.029,0.002
UPCOM,Personal & Household Goods,A32,2022,415662689034,57796091197,177262331882,177086218598,3518047357,131789563148,118150801589,10572570000,2246534757,547452252182,332052517651,332052517651,0,215399734531,215399734531,22366733445,0,547452252182,5293319242,180427352600,125033001086,68000000000,68000000000,0,56120874973,0,2246534757,10572570000,A32,,,,,,,,,,,,,0.106333186574927,719280459321,36666733445,0.0594487399234769,13562826157,719280459321,0,719280459321,-625906575936,93373883385,-1296492589,-5894142351,-56306851021,43439223581,536797528,-123646509,413151019,43852374600,-7185641155,0,36666733445,36666733445,A32,,,,,-15759256355,-6429486876,0,10876506727,4447019851,0,0,-28146580000,-28146580000,-39458816504,97299243376,-44335675,57796091197,A32,,,,,,,,,,,,,,,,,,,,,,,,,0.135,0.268,0.18,0.552,471,0.091,-0.001
UPCOM,Personal & Household Goods,A32,2021,401956113112,97299243376,112325433320,192225986980,105449436,126174782886,114253527600,10572570000,540394377,528130895998,289745705674,289745705674,0,238385190324,238057190324,45024189238,328000000,528130895998,11260458427,198751862802,125033001086,68000000000,68000000000,0,44517433279,0,540394377,10572570000,A32,,,,,,,,,,,,,-0.107653368771466,650148136248,34609256742,-0.178064587558868,7638558828,650148136248,0,650148136248,-578731775257,71416360991,-406023529,-4750944770,-33817431627,40080519893,1844875093,-175399058,1669476035,41749995928,-7140739186,0,34609256742,34609256742,A32,,,,,66906678336,-4580133081,1948181818,7090754793,4458803530,0,0,-18428000000,-18428000000,52937481866,44359080786,2680724,97299243376,A32,,,,,,,,,,,,,,,,,,,,,,,,,0.128,0.263,0.18,0.557,471,-0.007,-0.001
UPCOM,Personal & Household Goods,A32,2020,356691280424,44359080786,121819457695,190450695083,62046860,131604173493,119638693791,10572570000,720349777,488295453917,246078511317,246078511317,0,242216942600,242222852600,61821959664,-5910000,488295453917,2515271624,197321374915,112400892936,68000000000,68000000000,0,7914265310,552619624,720349777,10572570000,A32,,,,,,,,,,,,,0.0536479552527451,728582496415,42107027168,-0.103358352955472,9381676739,728582496415,-1450000,728581046415,-648984925398,79596121017,-924890156,-5218939576,-32226921969,50607046055,95840824,-119809744,-23968920,50583077135,-8476049967,0,42107027168,42107027168,A32,,,,,4279750731,-5442645248,9090909,8726296064,3292741725,36965000000,-45686758876,-14960000000,-23681758876,-16109266420,60513753437,-45406231,44359080786,A32,,,,,,,,,,,,,,,,,,,,,,,,,-0.002,0.18,0.191,0.629,567,-0.13,0.203
UPCOM,Personal & Household Goods,A32,2019,298767972671,60513753437,55847300049,182344872325,62046860,136162341746,124482540347,10572570000,310883799,434930314417,211317565955,209888187455,1429378500,223612748462,223615948462,59630342595,-3200000,434930314417,3671956860,190425823115,95985605867,68000000000,68000000000,1429378500,4666052264,7845000000,310883799,10572570000,A32,,,,,,,,,,,,,0.0700555890138104,691485702395,46960820197,0.0896822629711056,11776928962,691485702395,0,691485702395,-609205657982,82280044413,-632122912,-5855208476,-30320927880,57248714107,334114520,-988209193,-654094673,56594619434,-9633799237,0,46960820197,46960820197,A32,,,,,11209827691,-12965777916,0,13886274882,920496966,22235000000,-15390000000,-16752377000,-9907377000,2222947657,58290805780,0,60513753437,A32,,,,,,,,,,,,,,,,,,,,,,,,,0.109,0.253,0.18,0.567,520,0.111,0.034
UPCOM,Personal & Household Goods,A32,2018,335863031135,58290805780,112102783818,164355410664,1114030873,132978092299,121710591237,10572570000,194931062,468841123434,268029347597,265599969097,2429378500,200811775837,200826610837,51894464304,-14835000,468841123434,5944384388,169970391008,80932146533,68000000000,68000000000,2429378500,15964505927,0,194931062,10572570000,A32,,,,,,,,,,,,,0.0560615717407091,646214747621,43095883812,0.215920126122035,14405826377,646214747621,-19968565,646194779056,-583746959157,62447819899,-577387667,-5863308315,-18520452076,51892498218,40890889,-432594411,-391703522,51500794696,-8404910884,0,43095883812,43095883812,A32,,,,,52240033928,-14473465832,421468182,17504159710,3452162060,0,-130000000000,-13059706333,-143059706333,-87367510345,145658316125,0,58290805780,A32,,,,,,,,,,,,,,,,,,,,,,,,,0.113,0.254,0.18,0.566,521,0.004,0.003
UPCOM,Personal & Household Goods,A32,2017,374126689644,145658316125,97944557815,130440960114,82855590,126865638713,109272590191,10572570000,0,500992328357,324709022028,322279643528,2429378500,176283306329,176299950329,39730861505,-16644000,500992328357,1821931000,134215843846,68569088824,68000000000,68000000000,2429378500,4909028448,130000000000,0,10572570000,A32,,,,,,,,,,,,,-0.0275710709462197,611910105351,35443022026,-0.0282491263744845,13606376831,611910105351,-89387728,611820717623,-546258715162,65562002461,-512163234,-6871193981,-29728199455,42056822622,67269183,-179126021,-111856838,41944965784,-6501943758,0,35443022026,35443022026,A32,,,,,-6679451874,-16041242456,59090909,13606376831,-2375774716,140000000000,-110100000000,-14960000000,14940000000,5884773410,139773542715,0,145658316125,A32,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.251,0.18,0.569,473,-0.013,-0.118
UPCOM,Personal & Household Goods,A32,2016,343278704305,139773542715,76036206848,120913598151,6555356591,121726088546,108869624610,10572570000,1342687636,465004792851,301602887181,299173508681,2429378500,163401905670,162842495448,38990083554,559410222,465004792851,3989892286,125115272371,55852411894,68000000000,68000000000,2429378500,9262713014,100100000000,1342687636,10572570000,A32,,,,,,,,,,,,,0,629259462639,36473362657,0,15651387122,629259462639,0,629259462639,-563614430007,65645032632,-665605942,-6437313752,-31083611651,43109888409,138151279,-201100,137950179,43247838588,-7307814385,533338454,36473362657,36473362657,A32,,,,,-31279421931,-23738391982,46963636,15371565018,-8319863328,0,-79900000000,-14105400000,-94005400000,-133604685259,273378227974,0,139773542715,A32,,,,,,,,,,,,,,,,,,,,,,,,,0.143,0.276,0.18,0.544,473,0.043,-0.063
HSX,Chemicals,AAA,2024,6426369244563,2419517905105,1801012289922,1286443372106,200756318718,7341846339892,3037270806863,254217998561,1136863151319,13768215584455,7531941631255,4132594319010,3399347312245,6236273953200,6236273953200,539311728597,,13768215584455,548902941301,1288143128446,80481616464,3822744960000,3822744960000,1339620732954,135152896271,2554855324899,966201588541,30376592621,AAA,718639358712,358500000000,1303970692613,18751291534,902455310817,1500000000,0,0,156430635657,26148137968,384648137968,,0.0126321949315327,12787713250229,368580504091,0.273555873367434,270722310926,12787713250229,-5482689181,12782230561048,-11298125054883,1484105506165,-200721664875,-716779456478,-380383295396,513663157658,10216040995,-108313161493,-98097120498,415566037160,-95601801896,-182394533,319781840731,368580504091,AAA,-159525373952,56719757316,0,-48798663360,958913854214,-1038116320099,35098519868,169765078034,-1415216102189,6953781206347,-6516670554193,-10532850000,423075391950,-33226856025,2435058282483,17686478647,2419517905105,AAA,415566037160,400443116222,6217687383,-6784245710,0,-64507098894,168055973740,918991469901,-98357314649,-251685258309,657878118554,-24076880007,-174764118895,-33217634598,0,-35854527783,-2317278801178,2668484286684,-944336365498,11167500000,0,-3502410204,,,0.243,0.338,0.18,0.482,492,0,0
