Ticker,Date,Year,Title,Sentiment,Source
HPG,2025-11-03,2025,Hòa Phát đầu tư khu công nghiệp quy mô 235ha tại Hưng Yên,positive,CafeF
HPG,2025-10-31,2025,"Hòa Phát nợ vay gần 100.000 tỷ, chi phí lãi vay tăng vọt vì một lý do đặc biệt",negative,CafeF
HPG,2025-10-29,2025,"Hòa Phát lãi hơn 4.000 tỷ trong Q3/2025, tăng 33% so với cùng kỳ, đã hoàn thành toàn bộ Khu liên hợp sản xuất gang thép Hòa Phát Dung Quất 2",positive,CafeF
FPT,2025-10-20,2025,"FPT báo lãi ròng 9 tháng tăng trưởng 19%, thắng thầu loạt dự án lớn",positive,CafeF
FPT,2025-07-18,2025,FPT lãi tăng hơn 20% trong quý II,positive,VnExpress
FPT,2025-03-19,2025,"FPT: ""Ôm"" tiền mặt tỷ USD, cổ phiếu vẫn bị ""xả mạnh"", mạnh tay ""rót tiền"" vào dự án AI",negative,ETime Danviet
FPT,2025-01-24,2025,"FPT lãi trước thuế kỷ lục hơn 11.000 tỷ năm 2024, EPS tăng trưởng gần 22%",positive,CafeF
VNM,2025-07-30,2025,"Vinamilk đạt doanh thu Quý 2/2025 cao nhất từ trước đến nay, 16.745 tỷ đồng",positive,CafeF
SSH,2025-04-26,2025,"Chủ tịch Sunshine Group giải mã bài toán tái cấu trúc, hé lộ kế hoạch bàn giao 200.000 tỷ giá trị bất động sản",neutral,vneconomy.vn
SSH,2025-04-26,2025,Sunshine Group: Đầu tu vào những lĩnh vực có năng lực cốt lõi và khả năng làm chủ cuộc chơi,neutral,vneconomy.vn
SSH,2025-03-12,2025,Việt Nam đang bắt kịp thế giới về tốc độ tăng trưởng bất động sản hàng hiệu,neutral,vneconomy.vn
SSH,2025-03-11,2025,SSH: Ngày đăng ký cuối cùng Đại hội đồng cổ đông thường niên năm 2025,positive,hnx.vn
SSH,2024-02-27,2024,SSH: Ngày đăng ký cuối cùng Đại hội đồng cổ đông thường niên năm 2024,positive,hnx.vn
SSH,2024-01-04,2024,"Công bố thông tin chậm và thiếu, một công ty bất động sản bị phạt 280 triệu đồng",neutral,vneconomy.vn
VPI,2025-07-30,2025,VPI: Giải trình chênh lệch LNST BCTC HN và Riêng quý 2/2025 so với cùng kỳ năm trước,negative,www.hsx.vn
VPI,2025-07-29,2025,VPI: Báo cáo tình hình quản trị công ty 06 tháng đầu năm 2025,neutral,www.hsx.vn
VPI,2025-07-18,2025,VPI: Thông báo về việc ký hợp đồng kiểm toán BCTC năm 2025,neutral,www.hsx.vn
VPI,2025-07-17,2025,VPI: Thông báo giải thể Văn phòng Đại diện,neutral,www.hsx.vn
VPI,2025-07-11,2025,Văn Phú khai mạc triển lãm đa giác quan “Chạm vị nhân sinh” - Hành trình “chạm” để lắng nghe,neutral,vneconomy.vn
VPI,2025-06-17,2025,Văn Phú - Đèo Cả bắt tay đề xuất dự án Đại lộ cảnh quan ven sông Hồng,negative,vneconomy.vn
VPI,2025-06-12,2025,VPI: HĐQT thông qua việc góp vốn thành lập công ty con,neutral,www.hsx.vn
VPI,2025-06-11,2025,VPI: Giấy chứng nhận đăng ký doanh nghiệp thay đổi lần thứ 28,neutral,www.hsx.vn
VPI,2025-06-06,2025,VPI: Thông báo thay đổi nhân sự - Miễn nhiệm và bổ nhiệm Người nội bộ,neutral,api.hsx.vn
VPI,2025-05-21,2025,Phú Thị Riverside - Nhà phố ven sông với mức giá “khó tin”: Tương đương căn hộ cao cấp,neutral,vneconomy.vn
VPI,2025-05-18,2025,"Petrovietnam: Phát triển khoa học, công nghệ, đổi mới sáng tạo và chuyển đổi số để bứt phá",neutral,tapchicongthuong.vn
VPI,2025-05-14,2025,VPI: Thông báo thay đổi nhân sự - Bổ nhiệm Phó Tổng Giám đốc,negative,api.hsx.vn
VPI,2025-05-13,2025,Văn Phú đồng hành cùng Lễ hội hoa Phượng đỏ thành phố Hải Phòng 2025,negative,vneconomy.vn
VPI,2025-05-07,2025,Đề xuất nâng tuyến cao tốc Hà Nội - Bắc Giang lên 10 làn xe,neutral,vneconomy.vn
VPI,2025-04-29,2025,"Bất động sản Gia Lâm tăng tốc, Phú Thị Riverside dẫn đầu xu hướng",positive,vneconomy.vn
VPI,2025-04-26,2025,VPI: Giấy chứng nhận đăng ký doanh nghiệp thay đổi lần thứ 27,neutral,www.hsx.vn
VPI,2025-04-24,2025,VPI: Biên bản họp và Nghị quyết ĐHĐCĐ thường niên năm 2025,neutral,www.hsx.vn
VPI,2025-04-24,2025,Văn Phú - Invest: Kỳ vọng chuyển mình trong bối cảnh kinh tế phục hồi,positive,vneconomy.vn
VPI,2025-04-15,2025,VPI: Báo cáo thường niên năm 2024,neutral,www.hsx.vn
VPI,2025-04-03,2025,VPI: Link công bố tài liệu họp ĐHĐCĐ thường niên năm 2025,neutral,www.hsx.vn
VPI,2025-04-02,2025,Khai mạc Hội chợ Thương mại Quốc tế Việt Nam lần thứ 34 - VIETNAM EXPO 2025,neutral,tapchicongthuong.vn
VPI,2025-03-26,2025,Khối ngoại lại ồ ạt xả FPT,neutral,vneconomy.vn
VPI,2025-03-26,2025,"Dòng tiền suy yếu, cổ phiếu trượt dốc, thanh khoản xuống đáy 6 tuần",negative,vneconomy.vn
VPI,2025-03-25,2025,Các quỹ ETF bị rút ròng tuần thứ 13 liên tiếp quy mô 3.600 tỷ đồng,neutral,vneconomy.vn
VPI,2025-03-24,2025,Nhà đầu tư cá nhân mạnh tay gom cổ phiếu ngân hàng,neutral,vneconomy.vn
VPI,2025-03-24,2025,Dòng tiền quay lại cổ phiếu blue-chips,positive,vneconomy.vn
VPI,2025-03-18,2025,"Tiền ngại vào, thanh khoản giảm mạnh, thị trường “nguội” dần",negative,vneconomy.vn
VPI,2025-03-17,2025,"Nhà đầu tư trong nước bán ròng, đến lượt khối ngoại mua",negative,vneconomy.vn
VPI,2025-03-17,2025,Điểm danh 3 cổ phiếu ngành chứng khoán sắp được các 3 ETF mua vào tổng cộng 54 triệu cổ,neutral,vneconomy.vn
VPI,2025-03-17,2025,"Khối ngoại xả FPT xuống đáy 5 tháng, thị trường phục hồi tích cực",positive,vneconomy.vn
VPI,2025-03-11,2025,VPI: Thông báo về ngày đăng ký cuối cùng tham dự ĐHĐCĐ thường niên năm 2025,negative,www.hsx.vn
VPI,2025-03-05,2025,VPI: CBTT ngày ĐKCC để thực hiện quyền tham dự ĐHCĐ thường niên năm 2025,neutral,www.hsx.vn
VPI,2025-03-04,2025,VPI: CBTT lập DSCĐ tham dự ĐHCĐ thường niên năm 2025,neutral,www.hsx.vn
VPI,2025-02-19,2025,"Vẫn còn nhiều thách thức ""bủa vây"" doanh nghiệp bất động sản",neutral,vneconomy.vn
VPI,2025-02-14,2025,"Hụt hơi về cuối, VN-Index chưa thể đột phá đỉnh cũ",negative,vneconomy.vn
VPI,2025-02-06,2025,"Cập nhật lợi nhuận quý 4/2024: 980 doanh nghiệp báo lãi tăng mạnh 32,1%, nhóm phi tài chính vượt trội tăng 48,7%",positive,vneconomy.vn
VPI,2025-02-03,2025,VPI: Giải trình chênh lệch lợi nhuận sau thuế quý 4/2024 so với quý 4/2023,neutral,www.hsx.vn
VPI,2025-01-21,2025,"Cá nhân rút quân nghỉ tết, bán ròng bất động sản và chứng khoán",negative,vneconomy.vn
VPI,2025-01-21,2025,VPI: Bản trích lục Nghị quyết HĐQT về việc góp vốn đầu tư dự án,neutral,www.hsx.vn
VPI,2025-01-21,2025,Tiền “nóng” nguội dần,neutral,vneconomy.vn
VPI,2025-01-20,2025,"Thanh khoản ""nhỏ giọt"", các dòng tiền mua bán trái chiều",neutral,vneconomy.vn
VPI,2025-01-15,2025,VPI: Nghị quyết HĐQT về việc chuyển nhượng cổ phần tại công ty thành viên - Công ty Cổ phần Đầu tư Phong Phú,neutral,www.hsx.vn
VPI,2025-01-15,2025,VPI: Thông báo thay đổi nhân sự công ty,neutral,www.hsx.vn
VPI,2025-01-14,2025,"Khối ngoại đột nhiên bán ròng mạnh, cá nhân tranh thủ gom trước Tết",negative,vneconomy.vn
VPI,2025-01-14,2025,VPI: Báo cáo tình hình quản trị năm 2024,neutral,www.hsx.vn
VPI,2025-01-10,2025,VPI dùng 14 triệu cổ phiếu của con gái Chủ tịch và công ty liên quan làm tài sản đảm bảo để huy động trái phiếu,negative,vneconomy.vn
VPI,2025-01-09,2025,Nhà đất pháp lý hoàn thiện luôn hút khách,positive,vneconomy.vn
VPI,2025-01-07,2025,VPI: Thông báo về việc niêm yết và giao dịch cổ phiếu thay đổi niêm yết,positive,www.hsx.vn
VPI,2025-01-04,2025,"Hoảng loạn bao trùm phiên cuối tuần, nhà đầu tư cá nhân vẫn bắt đáy ròng 1.500 tỷ",neutral,vneconomy.vn
VPI,2024-12-31,2024,"Loạt cổ phiếu trụ ngân hàng bị ép mạnh, khối ngoại bán ròng phiên cuối năm",negative,vneconomy.vn
VPI,2024-12-31,2024,VPI: Quyết định thay đổi niêm yết,positive,www.hsx.vn
VPI,2024-12-31,2024,"Dòng tiền nghỉ Tết, thanh khoản xuống đáy 6 tuần, VN-Index thủng mốc 1270 điểm",negative,vneconomy.vn
VPI,2024-12-25,2024,"VPI: HĐQT thông qua chào bán, phát hành trái phiếu và phương án phát hành trái phiếu riêng lẻ",neutral,www.hsx.vn
VPI,2024-12-23,2024,"Tiền mất hút phiên Noel, khối ngoại lại lôi hàng ra xả",neutral,vneconomy.vn
VPI,2024-12-23,2024,"VN-Index vượt 1260 điểm, tiền tiếp tục đổ vào cổ phiếu nhỏ",neutral,vneconomy.vn
VPI,2024-12-20,2024,"Tự doanh bất ngờ xả mạnh, bán ròng 1.242 tỷ",negative,vneconomy.vn
VPI,2024-12-20,2024,"Phiên tái cơ cấu bình yên, cổ phiếu nhỏ tăng khỏe",positive,vneconomy.vn
VPI,2024-12-13,2024,Chủ đầu tư GP.Invest công bố bàn bàn giao dự án Palm Manor,neutral,vneconomy.vn
VPI,2024-12-13,2024,Chủ đầu tư GP.Invest công bố bàn giao dự án Palm Manor,neutral,vneconomy.vn
VPI,2024-12-05,2024,VPI: Giấy chứng nhận đăng ký doanh nghiệp thay đổi lần thứ 26,neutral,www.hsx.vn
VPI,2024-12-02,2024,Dự án đáng sống là phải đảm bảo tiêu chí “đồng bộ”,negative,vneconomy.vn
VPI,2024-11-29,2024,"Vốn ngoại tiếp tục mua mạnh, VN-Index chạm ngưỡng 1250",neutral,vneconomy.vn
VPI,2024-11-26,2024,VPI: Thông báo giao dịch với người có liên quan - Thành viên HĐQT,neutral,www.hsx.vn
